Tweet,message,Match,polarity
323,RT  Cambridge Uni  The University of Cambridge has published new advice for UK and international offer holders  particularly those who face,,neutral
324,RT  Metacog01  2  So  to do my Masters nobody cared less about my GPA  In retrospect  that was a reasonable thing   I became a teacher to,"masters, reasonable",positive
325,RT  sdut  San Diego State University postpones graduation until December due to coronavirus    Breaking   ,breaking,negative
326,VALDOSTA  Dr  Richard Carvajal  president of Valdosta State University  has released a YouTube video regarding com  ,,neutral
327,Education   Dongguk University  Departement of Drama Film,,neutral
328, JOB WANTED  Intercollegiate Head Basketball Coach  Athletic Director  Vice Pres  Dean of Physical Education Ath  ,vice,negative
329,Tucker Carlson on the coronavirus  impact on higher education   Not enough federal bailout money in the Treasury to  ,enough,positive
330, BarbDavis2311  The Art of Education University   A Choice Board for the Elementary Art Room   via  theartofed,,neutral
331, ryanmichler University provides more value than just education ,,neutral
332, Namrataa  mea gulpa Iran probably has a better STEM education program than India  The quality of Sharif universit  ,better,positive
333, priyagupta999 Did you graduate from whatsapp University  What s your education qualification madam  ,,neutral
334, daily trust Ajuru Ignatius University of Education charge students 43 200 for acceptance fee in Port Harcourt,trust,positive
335,We can t see a central University to be converted into a Isolation centre What about our semester What about our e  ,isolation,negative
336,RT  youth voicesNai   bahatiernestine  A refugee and nursing graduate from Moi University is the new youth representative and person inchar,,neutral
337,RT  PeterDyakowski  Cooped up at home  Pining for school to resume  Drew Doughty s bored too so he wants to judge your essays    dewyy8 has,bored,negative
338, Kittyyyc2  jkenney  shandro Lol ah doesn t take long for you dippers to start showing you maturity level when you  ,maturity,positive
339,RT  SallyZayed22  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,important,positive
340,RT  NormandBrodeur  Une rflexion que nous devrons aussi aborder au Qubec  feep  EduNumQc La Saskatchewan cre un comit pour rflchir ,,neutral
341,Cooped up at home  Pining for school to resume  Drew Doughty s bored too so he wants to judge your essays    dewyy8  ,bored,negative
342,Learn how to use your GS1 Company Prefix to create GS1 identifiers for products at our self paced  online training   ,,neutral
343,RT  wilberforce u  Thank you Mr  Mark Wilson and Chime Solutions for your gift to Wilberforce University  For Press Release Information htt,thank,positive
344,With Dr  O A Wokoma and Dr  A J Edeghotu both from the Dept  of Biology  Ignatius Ajuru University of Education  ,,neutral
345,Taehyungs happy he found this nice apartment in a location not too far from where they all go to school  or where  ,"happy, nice",positive
346,Cambridge students urge university to let them retake the final year  ,,neutral
347,As the virus turned into a deadly global outbreak  UNL recalled students living abroad in South Korea and Italy  ad  ,"virus, deadly, outbreak",negative
348,A few days later  on Feb  3  the University of Nebraska announced it was suspending all university sponsored travel  ,,neutral
349, KillianConnolly I am no Austrian  Again you think the world is so simple that a university education affords you w  ,,neutral
350,RT  WiStateJournal  The annual Match Day tradition  where students stand on stage to learn where they will do their residencies  was scuttl,,neutral
351,Take a walk across the University of California Irvine campus and you ll see what I mean   Why is the State of Cal  ,,neutral
352,You ll be able to graduate this year or whats going on in general as university doesn t know what s going on and th  ,,neutral
353,Join the University of Central Oklahoma team  See our latest Education job openings  including  Graduate Teaching A  ,,neutral
354,RT  ngotranslations  How to properly wash your hands  The red liquid is intended to visually illustrate how to properly reach all areas in,properly,positive
355,A must read  UW medical students celebrate virtual Match Day before starting residency in COVID 19 era  Great job  ,"celebrate, great",positive
356,Can you recommend anyone for this Education job in Edmond  OK  Click the link in our bio to see it and more  FWSP S  ,recommend,positive
357,Want to work at Brown University  We re hiring in  Providence  RI  Click the link in our bio for details on this jo  ,"work, providence",positive
358,JNUs VC appeals to university community to observe Janata Curfew  Education   ,,neutral
359,RT  joeygulbin  Blessed to announce my commitment to continue my education and football career at Fordham University   RAMILY  Coach Conl,commitment,positive
360,RT  KenyonStray   jacobinmag I ve given up on the corruption of state university campuses  We need good leaders to organize community educa,"good, corruption",neutral
361, lawvaughan  syrpis  legalscholars  SLSA UK In less than 24 hours over 2000 people have signed a petition set up by  ,,neutral
362,Why do university teaching staff not classify as  keyworker although teaching staff in the education sector do   ,,neutral
363,RT  CHFBaseball  Congrats to 2020 RHP  OF  Keith Wallace  on committing to continue his education  amp  baseball career at Virginia State Unive,,neutral
364, Sflecce  OFHSA1916 Is  OFHSA1916 a Friend of  samoosterhoff   you know  your deputy minister of public education   ,,neutral
365,Dr  Anthony Fauci s education   training He went on to attend the College of the Holy Cross and received his M D   ,holy,positive
366,RT  artiflection  Welcome to Storytelling Across Generations  Legacy Series  Georgia Journeys  and the Museum of History and Holocaust Edu,welcome,positive
367,RT  JacksonJaymond  Blessed to receive my 6th Division One offer to continue my education and football career from Houston Baptist Universi,,neutral
368, CoreysDigs  xdotsi Canada  Qc Entire education system   daycares closed Bars  cinemas and gyms closed Restauran  ,,neutral
369,Our new education guide has information about Canadas history  geography  quality of life  and human rights  It wi  ,,neutral
370,Welcome to Storytelling Across Generations  Legacy Series  Georgia Journeys  and the Museum of History and Holocau  ,welcome,positive
371,RT  thegoaneveryday   Goa Directorate of Higher Education announces that teaching and non teaching staff of Goa University  and affiliated,,neutral
372,RT  AdelajaAdeoye  If we had embraced distance education optimally with the use of internet based learning  e g University of South Africa ,,neutral
373,Just a little education for all you Patriots out there America Canada and Mexico are now one division of a 9 divisi  ,,neutral
374,RT  hub resource  Recently talked to a Canadian colleague who was incredulous that grades for university entrance in the UK are based mainl,incredulous,negative
375,RT  ahmd eldoh    We  university students  demand the cancellation of the second term  Our health is more important th,important,positive
376,RT  hub resource  University representatives have confirmed that they expect universities to be flexible and do all they can to support stu,"flexible, support",positive
377,RT  alquama12323   No quarantine in MANUU We want education  We want semester examination  We want  hostel  No corona patients and corona p,,neutral
378,RT  lailama18450131  We  university students  demand the cancellation of the second term  Our health is more important than education  We c,important,positive
379,RT  StudentMindsOrg  Your  UniMentalHealthCharter is here  Together we can make mental health a university wide priority improve mental,improve,positive
380,RT  Michael31093553  Leonard Sherman dropped out of college  forfeiting a basketball scholarship at the University of Illinois in Champaign,,neutral
381, We make you going to university but you got nothing  You don t even give us money  Look at her  my neighbor  she  ,,neutral
382,Coronavirus  university president hits out at Hong Kong student union s  Chinese pneumonia  statement for  harming  ,,neutral
383,RT  delaCruXavier   prageru  thewillwitt He knows PragerU  amp  everything it stands for As a middle aged  brown skinned  non American  I m g,,neutral
384,Commemorative planting of  mangrove  trees to mark  WorldForestryDay today in the mangrove swamp of Ignatius Ajuru  ,,neutral
385, Flahutin 75  education majors would be my first guess having attended a university with an education program focus  ,,neutral
386,RT  D Bench 86   InshallahSZN  VanniePlaas  Marita 1010  BlessingsRamoba Fort Hare  Medunsa  UKZN  University of the North  Venda Universit,,neutral
387, levang david  almightydeion   Mansell247  AthensAcademyFB  ChadSimmons   TEwracademy  tballardqbcoach Disgusting   ,disgusting,negative
388,You don t need a campus to  collaborate  See how students and teachers keep collaborating with  Webex  ,,neutral
389,RT  ValpoWeather  Even though the university will be remote for the semester  our professors are continuing in the rigorous instruction nee,,neutral
390,RT  uamsnurses  UAMS has a unique combination of education  research and clinical expertise that promotes and supports teamwork and  divers,supports,positive
391, drajm Majority Indigenous Canadian Territory   schools closed before first case  working through what to do next   ,,neutral
392,Universities need more enterprise   via  dailyo ,,neutral
393,New education story on NPR  Outbreak Voices  A South Korean Student On Hunkering Down In New Haven  ,outbreak,negative
394, jacobinmag I ve given up on the corruption of state university campuses  We need good leaders to organize communit  ,"good, corruption",neutral
395,Coronavirus  university president hits out at Hong Kong student unions Chinese pneumonia statement for harming  ,,neutral
396,UAMS has a unique combination of education  research and clinical expertise that promotes and supports teamwork and  ,supports,positive
397, No quarantine in MANUU We want education  We want semester examination  We want  hostel  No corona patients and co  ,,neutral
398,RT  CharteredColl  Visit MyCollege and download the top 5 most read summaries from the University of Bristols Document Summary Service ,top,positive
399,RT  learncanola  Join Chase Duffy on his time travel adventure where he meets Mr  Slovonuk  the first pioneer to bring the rape plant to Ca,rape,negative
400, Taaooma Funny enough I never experienced this  My parents werent millionaires but they tried so hard to hide the  ,"enough, funny, hard",negative
401,Covid 19  Ministry Of Education Has No Right To Close University  Says Afe Babalola    ,right,positive
402, onemichaelrossi  walfy81  RodneyMarsh10 Thats a University Education for you Michael  ,,neutral
403,Leonard Sherman dropped out of college  forfeiting a basketball scholarship at the University of Illinois in Champa  ,,neutral
404,Beijing Language and Culture University   TOP 200 in China Beijing Language and Culture University  BLCU  is a uni  ,top,positive
405,RT  trgenovese  Check it   michaelcrow s mask comes off in this interview revealing nothing more than a corporate tycoon who doesn t care a,,neutral
406,RT  ledje  Welcome to the Graduate Medical Education family at the University of Cincinnati  Looking forward to meeting you in person   EZE,welcome,positive
407,Visit MyCollege and download the top 5 most read summaries from the University of Bristols Document Summary Servic  ,top,positive
408, DanMcmahonF1  hello court People die every year from the stress that education university brings them let alone in  ,"die, stress",negative
409,Consider applying for SHIP  a two week research intensive and college immersion program at the University of Minnes  ,,neutral
410, ShoutOutSaturday to our PA leadership team and CET for organizing the Therapeutic Neuroscience Education at the Un  ,,neutral
411, dbrownsports  NoahCasper1  GoodmanHoops  Stadium James Madison the University is a BIG BIG  Upgrade over Georgia S  ,,neutral
412,RT  thenewsstar  The change is encouraged but not required   ,,neutral
413,Service de garde d urgence   les employs de lducation pourront tre rappels au travail  ,,neutral
414,These issues are resurrected every few years  The teachers are scapegoated  while the gov t spins fiscal responsibi  ,issues,negative
415,Can you find the answer GLSUniversity  EducationalInstitute  Ahmedabad  EducationProvider  Ahmedabad Education  ,,neutral
416,I love hearing about Canadian history  I didn t learn much of it in school which is kinda sad since I live in Canad  ,"love, sad",neutral
417,As an alum  instructional faculty  ohiou were crucial to my education  OU Pres  Nellis must commit to not laying of  ,,neutral
418,RT  EuroGeosciences  Do you have an idea for some teaching resources you would like to develop at  HigherEducation  university  level Why,like,positive
419, raj canada  LEGO Education  Churchvilleps Awesome job A ,awesome,positive
420,JNUs VC appeals to university community to observe Janata Curfew   Education Today News  ,,neutral
421,RT  nationalpost  Sponsored  Ashton College has created an online version of their education assistant program to meet the steady demand fo,steady,positive
422, POTUS  WhiteHouse  EUCouncil  SecPompeo  marcorubio  JohnCornyn  GOPLeader  tedcruz  SpeakerPelosi  SenSchumer  ,,neutral
423,An amazing resource from our friends at The University of North Carolina at Chapel Hill   strategies to support fam  ,"amazing, support",positive
424, bbcnews Jo Johnson mp stands up for free speech in universities If free speech in universities is restricted as he  ,"free, restricted",positive
425,Touro celebrates successful Match Day event   via  AllDailyRepNews,successful,positive
426,My heart   Love this story of  almost  Dr  Anderson Carter who matched  WiscObGyn  who is AMAZING  So proud of  ,"love, amazing, proud",positive
427, normanswan Majority Indigenous Canadian Territory closes schools  before  the first confirmed COVID19    ,,neutral
428,Get a strong educational foundation for successful career Study free any bachelor degree from Germany after studie  ,"strong, successful, free",positive
429,After the restriction of going to all institutions of education  such universities and colleges  in Pakistan  Today  ,restriction,negative
430, InshallahSZN  VanniePlaas  Marita 1010  BlessingsRamoba Fort Hare  Medunsa  UKZN  University of the North  Venda U  ,,neutral
431,See our latest  Providence  RI  Education job opportunity and click the link in our bio to apply  Research Computin  ,providence,positive
432,JPIS Grade 12 student  Vrinda Sonkiya makes it to the prestigious Georgetown University    georgetown  jpis  ,prestigious,positive
433, richardmarx  MarkYoungTruth  TitusNation PhD in org psych  from GCU  a for profit Christian university  It sounds  ,,neutral
434,Heres to all students today  School and university  lovelearning  education  ,,neutral
435,Sorry bad link   ,"sorry, bad",negative
436,RT  PreschoolToday      China ECE Policy Response to COVID 19   Professor Lin Li   East China Normal University and N,,neutral
437,Challenges and their strategies for effective writing of all types of university assignments    ,effective,positive
438,RT  AdamSchiff  Too many students have been defrauded by universities that lack proper credentials Their degrees aren t recognized  but t,"proper, lack",neutral
439, song title Wouldnt put too much on the degree  that university doesnt have set core  required  courses  Each dep  ,,neutral
440,Hello  We are the engineering track students from Imam Abdul Rahman bin Faisal University in Dammam  IAU  W  ,,neutral
441, richaanirudh  PMOIndia  drharshvardhan  JournoPranay Why in Canada   Whats wrong with Great Indian education syst  ,"great, wrong",neutral
442,RT  DrStevenMGarcia  Always be mindful about the purpose of public education via JFK s speech on Education at Vanderbilt University  1963,,neutral
443, AviatorMouse  dwyoon1  osstf Averaging the salaries of everyone in Canada to compare with ONE occupation is a fall  ,fall,negative
444, HAHayatu He should take education insurance policy that will cover their education to university  Education is the best legacy,best,positive
445, darshanvmehta1 Who said education these days is equal to intelligence  Esp with whatsapp University around every corner ,intelligence,positive
446,RT  UoPeople   With the global  coronavirus crisis  online universities such as University of the People that don t charge  students for ta,crisis,negative
447,im so confused wdym the prime minister and the minister of education are saying they might just automatically pass  ,confused,negative
448,Virtual match day was different  but the joy was the same   ,joy,positive
449,RT  Phil Jones01  Cambridge University announced on Friday it would replace this summers exams with online assessment   ,,neutral
450, Goa Directorate of Higher Education announces that teaching and non teaching staff of Goa University  and affiliat  ,,neutral
451,Cambridge University announced on Friday it would replace this summers exams with online assessment   ,,neutral
452, LeftieStats  IpsosMORI Large lack of good education in the over 65 s Education was not meant for many of them T  ,"good, lack",neutral
453,I could order Sims 4 University so at least my sim could finish their education and walk at graduation ,,neutral
454,Panjab University closed till 31 3 2020  PanjabUniversity  BreakingNews  Chandigarh  Education  Politics  Punjab  ,,neutral
455, ChristeenGeorge  paulaakpan Given that white British boys eligible for free school meals are the least successful  ,"free, successful",positive
456, ugc india  AICTE INDIA  PMOIndia  AshokGahlotINC  Ashokgahlot8890 all most all higher education are close due to c  ,,neutral
457,   The Kingfisher  official student publication of Southern Luzon State University  Lucban  Quezon  is  ,,neutral
458,RT  OmbudsBlog  New article  OmbudsJournal A Brief History of the Student Ombudsman  The Early Evolution of the Role in US Higher Educa,,neutral
459,In the archives of Moscow State University found a diploma of higher education of Mikhail Sholokhov  ,,neutral
460,RT  HamiltonLibrary  Saturday morning fun   If you missed Author and Illustrator Mo Willems   MoLunchDoodles  this past week  watch his fiv,"fun, missed",neutral
461,We university students demand the cancellation of the second term Our health is more important than education We co  ,important,positive
462,Private education and University entrance  Still discriminating against state schools  Entry by predicted grades wi  ,,neutral
463, kimsuejenn  jaketapper Oh Kim  Who tells you uneducated people watch Fox News  Im a Latina with University educat  ,,neutral
464,my dad just told me to lower my expectations because university is expensive  well pop  unlike you  i want an educa  ,"well, expensive",neutral
465,Hello  I am Courtney  I am a student at Siena Heights University in Michigan  I am studying to go into education  T  ,,neutral
466,RT  republic  Coronavirus outbreak  Students vacate Delhi University hostel complex  ,"outbreak, complex",negative
467,RT  heraldleader  The daycare is expected to serve University of Kentucky HealthCare employees and first responders   ,,neutral
468,RT  mathmania64   4 LOT The Balance Sheet National Business Education Quarterly University magazine print ads advertisements Vintage old t,,neutral
469,Sustainability can benefit your business in surprising ways  Contact   today for a free initi  ,"sustainability, benefit, free",positive
470,The power of  association  World class  sales education  Power Sales University and  successmagazine  discount  ,,neutral
471,4 Most Important Things To Remember With eLearning   The Art of Education University  ,important,positive
472,RT  toledonews  Fourth year medical students at  UToledo celebrate their residency placements in a virtual ceremony   ,celebrate,positive
473,RT  Kareem56656055  We  university students  demand the cancellation of the second term  Our health is more important than education  We co,important,positive
474, NSelkie  EnglishmanAdam  NotMyShitPile Sorry   I keep getting asked how can people be so selfish  England voted  ,"sorry, selfish",negative
475,The  Afghan ministry of Telecom  amp  IT says all government meetings will be held online  Ministry of higher education  ,,neutral
476, TNanns  IntProtocol Among the most important human rights we have free education  free books  free universities an  ,"important, free",positive
477,Are you a university teacher  Have you just moved your teaching online  Here is a course led by  CliveYoungUCL  ,led,positive
478,RT  nancyfordephoto   RobGMacfarlane Hello   CCMercer  There are 4000  films that are free online via National  Film Board of Canada  NFB E,free,positive
479,RT  fimiletoks  University education is a privilege even in developed parts of the world  Basic education is a fundamental human right  Rig,"privilege, right",positive
480,For someone with an   University education   not understanding   the role   she would play   spells    SHORT SIGH  ,,neutral
481,Coronavirus outbreak  Students vacate Delhi University hostel complex  ,"outbreak, complex",negative
482,RT  AdebiyigoldA  WORK AND STUDY IN CANADA   Snowfox is a Canadian education consulting firm registered with the Corporate Affairs Commissi,work,positive
483,A few insights and highlights from last week   The New Digital University  Reflections on a Week that Changed Iri  ,,neutral
484,RT  lindseyld  As university physical infrastructure bills go down  professors and students absorb the cost of education with their own int,,neutral
485, jk rowling  davidfrum Thankfully in Canada we have an education exemption to copyright that has ways allowed teach  ,,neutral
486,RT  Gala Shine    a research based collaboration amp  discussion platform  initially an NSF funded project at the Center,shine,positive
487,RT  CBCPEI   Home learning activities  offered for P E I  parents to teach kids stuck at home due to COVID 19    pei,stuck,negative
488, Amaranth2004  ZedScience  LindsayThurber Keep adding to your teaching techniques and they will be useful for you   ,useful,positive
489,RT  Evana Rhodes  The no 1  StudentSurvivalGuide is knowing how budget   Budgeting has saved me from overspending and made me aware of wher,,neutral
490,A presentation on  The Beauty of the Mangroves  by students of Ignatius Ajuru University of Education   ,beauty,positive
491, dan1shaslam Honestly  this is way beyond the WhatsApp FB university intellectuals   Sadly instances such as these  ,sadly,negative
492,RT  thestandardth          ,,neutral
493, brithume  renato mariotti Listen all that use profanity  A study by one of your prestigious university  Study why  ,"prestigious, profanity",neutral
494,Today on  FabreadsDigest  We feature a digest from the Department of Building  Read notes and download materials fo  ,,neutral
495,RT  tinkswonhao  Seungcheol and Jeonghan admitted to Practical Music Course at Hanyang Universe Mirae Bank Education Centre Jeonghan  and,,neutral
496,RT  wyattsophiee  i dropped out for a year bc i was so mentally unstable only to get my mock results  imagine that  im over it  fuck ed,"unstable, mock, fuck",negative
497,I  lt 3 Brown University  Where students will smoke up deans in order to get gender neutral education,smoke,negative
498, narendramodi This is what we hv been saying u for past 6years  uncessary overseas travel will not benefit this nat  ,benefit,positive
499,RT  AmiraEs16927311  Mariem  Mariem83471399  Tweeted Our health is important than education   We cant go to University or study because,important,positive
500,Touro celebrates successful Match Day event  ,successful,positive
501,RT  SLCSSpecEd  Wayne State University is working with the MI Depart of Ed to hear YOUR views about special education services    To reques,,neutral
502,RT  Geziandme   EmeraldRobinson Do you go to Trump U  I thought they were all closed for being fake education   Anyway if there are Chines,"trump, fake",neutral
503,Happy Mother s Day    sorbonneAD  University  undergrads  postgrads  undergraduates  postgraduates  students  ,happy,positive
504,They organized a virtual Match Day to briefly celebrate their accomplishments before the 161 students headed into a  ,"celebrate, accomplishments",positive
505,RT  madisondotcom  The annual Match Day tradition  where students stand on stage to learn where they will do their residencies  was scuttle,,neutral
506,Stuck at home  Too much time on your hands  This is the perfect time to think about University and your education j  ,"perfect, stuck",neutral
507,RT  edemagbana  I listened to a very insightful education on COVID 19 on  Citi973 today  The resource person was  nkquakyi  a Public Health,insightful,positive
508,New education story on NPR  Outbreak Voices  A North Korean Student On Hunkering Down In New Haven  ,outbreak,negative
509, chelsfergo My journalism education is completely up in the air as my university has shut down  All of my work expe  ,work,positive
510,Thank you Ministers  BillBlair and  marcomendicino for enabling the free flow of international students across our  ,"thank, free",positive
511,RT  sotrixbax  This period is telling us to look for things to do before we get done with University education ,,neutral
512,Can college students get a refund for housing and meal plans  At UA  yes  At ASU and NAU  no    coronavirus  ,refund,positive
513, MGMolony  IrishTimes This may be a controversial bar stool theory  but is it partly to do with our post colonialis  ,controversial,negative
514, InsightWithMark  Dr  Susana Rivera Mills  Provost and Executive Vice President for Academic Affairs at  BallState   ,vice,negative
515, VocalFriez  Alhaitham87  ayoubsaalim  PearlsKnowledge  AbuTaymiyyahMJ Well this proves that you do not know anythi  ,"well, proves",positive
516,Make good use of time and prepare yourself for university with an Access to higher Education course from home  See  ,good,positive
517,RT  ojoshcreatives  Your  University has been shut down but then your  education should not shut down Google   YouTube are on  Learn a,,neutral
518,Let s Help American Oriented Institutions First  Those Who Promote Illegal Criminals From Staying Here  Attack Our  ,"illegal, attack",negative
519, covid19UK  University of Birmingham Pro Vice Chancellor for Education  Consider changes to assessments for Univers  ,vice,negative
520,See our latest Providence  RI job and click to apply  Associate Director  Talent      BrownUniversity  Education,"providence, talent",positive
521,Brexit is cancelled by the way  Lots of other things are going to change  The great university debt pyramid will co  ,"great, debt",neutral
522,London South Bank University   a grade II listed building required extensive alteration  extension and  ,,neutral
523, bot  Education   Myongji University musical Department,,neutral
524, I HAVE A MASTERS OF EDUCATION I KNOW MORE THAN YOU I acknowledge the teachers work  and she may have some awesom  ,"masters, work",positive
525, Im Egalitarian  Kodungolan737 Uh oh seems like ur whatsapp university forgot to send you this sanghi  Read and ge  ,like,positive
526, WorldForestDay with  MangroveMarathon to  SaveNigerianMangroves in collaboration with Ignatius Ajuru University of  ,,neutral
527, 1 1  A call to da ministry of da higher Education  amp  Scientific Research   In da name of Faculty of Arts English L  ,,neutral
528,It will be really interesting to see how this pandemic impacts on the university rankings   How will the top 100 f  ,"interesting, top",positive
529,A Peek Inside NACs Galleries features Susan Scott Kenney  Susan grew up in the Connecticut River Valley    She h  ,,neutral
530,RT  ankurandutta  Gauhati Universitys online classes are highlighted in The Telegraphs report  Education goes online  ,,neutral
531, samadhanifmalik University of education,,neutral
532,From the team who wrote the book on  Blockchain in Education  comes an innovative platform  which provides learner  ,innovative,positive
533,RT  Mariem83471399  Our health is important than education   We cant go to University or study because of CORONA   We have to stay HOME,important,positive
534,in the same vein as my last tweet  i would not have the university education and degree i do now  and thus  the who  ,,neutral
535,RT  GlblCtznAfrica  Everyone has the right to a basic education Yet  the quality of South African education remains of great concern  Of,"right, great, concern",positive
536,RT  alexawiti  Seriously  When does this BS stop  Why is so difficult to give student the correct transcripts   ,"correct, bs, difficult",negative
537, TheMYSTIC11  Anavaratha5  Phanishwarji  sardesairajdeep Do something  Get proper education  Leave whatsapp univers  ,proper,positive
538,RT  moninya  I am so thankful for all the many school teachers and university lecturers who have gone above and beyond the last few weeks t,thankful,positive
539,RT  AnnaRosePrior1   Temporary consultant microbiologist post available in Tallaght University hospital  See link ab,available,positive
540,The University of Texas System Board of Regents passed a  10 million allocation to support projects that support cy  ,support,positive
541,Saturday morning fun   If you missed Author and Illustrator Mo Willems   MoLunchDoodles  this past week  watch his  ,"fun, missed",neutral
542,Reflective writing in medical education      ReflectiveReportWritingServices  ,,neutral
543, DrSenthil MDRD  rajinikanth He completed his education from Whatsapp University   ,,neutral
544,Obviously shes not getting a good education at who knows university  ,good,positive
545,It s important we understand schools are closed for social distancing  It is important  ,important,positive
546, Beany 1  florencerounda2 Absolutely If we can t laugh at penis shaped foodstuff What was the point of all that University education ,,neutral
547,  We  university students  demand the cancellation of the second term  Our health is more impo  ,,neutral
548,COVID 19 Pushes Universities to Switch to Online Classe  but Are They Ready   coronavirus  Education  University  ,ready,positive
549,RT  LearnEnglishin  Cuddling a koala at the Lone Pine Koala Sanctuary is a must do experience when you study at  ICTEUQ  Make sure to try i,lone,negative
550, eugenegu for big business  amp  more aid to foreign countries whose people have subsidized healthcare  amp  university edu  ,subsidized,positive
551,Amen Tucker Carlson on the coronavirus  impact on higher education   Not enough federal bailout money in the Trea  ,enough,positive
552,Your university professors that you pay  50 000 a year too are watching porn  The type of rounded education McKinse  ,,neutral
553,Education  2002 2006 University of Southern California   Cinematic Arts   Film  amp  Television Production Occupatio  ,,neutral
554,RT  htTweets  Calicut University LLBexams postponed    ,,neutral
555,Is education the new currency What if there was a way to quantify the value of each university module  training c  ,,neutral
556,Are you struggling to get by on your students  allowance while studying at university or worried about accumulating  ,"struggling, worried",negative
557,The annual Match Day tradition  where students stand on stage to learn where they will do their residencies  was sc  ,,neutral
558,University is a high level of education  a passion to get through the current phase,passion,positive
559,The no 1  StudentSurvivalGuide is knowing how budget   Budgeting has saved me from overspending and made me aware o  ,,neutral
560, Michael57930798 AP might have a University Degree but she s very low on empathy and emotional intelligence And s  ,"empathy, intelligence",positive
561,RT  ifndef define  Higher Profit Margins Education  ,,neutral
562,RT  peachy hann  JeongCheol filo AU Jeonghan Yoon  education s dean  is being pestered by the University s President  Seungcheol Choi bec,,neutral
563, RealMattCouch Not yet but I work in education  Remote My oldest works for U P  University remote Second child Te  ,"work, works",positive
564,RT  DeanTracyBoyd  For parents seeking alternative education models for their children during this Corona Virus Pandemic  The University Sc,virus,negative
565, FarlaneTeri  richardupton  Kevin Maguire Not about envy its about hypocrisy   If he sacrifices his newly middle c  ,"envy, hypocrisy",neutral
566, Ram101994  PathakPost Central University ka post graduate hn samjhe  andbhakt  Aur jahil admi first president Raje  ,,neutral
567,Great find from this morning s readings into religious education in British schools  The ultimate reason for teach  ,great,positive
568,RT  Avaya  We re working with hundreds of universities  amp  educational institutions globally  including Florida State University  amp  the Ancona,,neutral
569, hajjarmo  UKEssays True  but through my work and my studies esp  with  earthcharter and the university of peace  I  ,"work, peace",positive
570,RT  maduro en  I have instructed the Minister for University Education Cesar Trompiz to coordinate with  JacquelinePSUV Pres  of the Beauti,,neutral
571,Fully what does Spalding have against university  never seen a group of young people so against others going and wa  ,,neutral
572, sethgirace1  austinthelake  neolibsaretrash  MarcusForAZ  IlhanMN I do believe it is unaffordable  I don t know ma  ,unaffordable,negative
573,RT  oluwole dada   kcnaija The minister of energy in South Africa is a lawyer  he was even a former minister of Justice  The minister of en,,neutral
574,Interested in a job in Loma Linda  CA  This could be a great fit     Education  Healthcareers,great,positive
575, IdolScribblings A maths lecturer of mine said  University is about the education you receive  not the exams that y  ,,neutral
576,Calicut University LLBexams postponed    ,,neutral
577,Calicut University Postpones Law Exam After Shashi Tharoor s Letter To UGC    ,,neutral
578,Are you looking for a professional Education   Academy School Collage  University  Institute logo design   Please c  ,,neutral
579,Calicut University LLBexams postponed  ,,neutral
580, I get that this is ALSO a problem with tertiary education  and it s assumed that all students will want to go to u  ,problem,negative
581, kriti solanki ritwikrajABVP  AnimaSonkar  Sujeet JNU dheerajkJNU  Your take on this   ,,neutral
582,I  lt 3 Brown University  Where students will fist a bear in order to get leftist education,fist,negative
583, Read a bookr  austinthelake  neolibsaretrash  MarcusForAZ  IlhanMN Not sure your definition of elite  but do you n  ,elite,positive
584,School education College University,,neutral
585,RT  EvanJSantiago  But heres the thing  I am paying to take interactive  in person classes at a four year university  If I wanted to ta,,neutral
586,The University of Cambridge Oxbridge Watch is the perfect timepiece for paying homage to your time in higher educat  ,"perfect, homage",positive
587,RT  stempowerusa  Wolo University receives electronic material for their labs from our STEMpower distribution center in Ethiopia   STEM  S,,neutral
588, EmeraldRobinson Do you go to Trump U  I thought they were all closed for being fake education   Anyway if there a  ,"trump, fake",neutral
589,Happy Mothers Day happymothersday  mothersday  mom  capitalcollege  capitalcollegeuae  uae  Dubai  DXB  ,happy,positive
590, BiLGiOfficial Dr  Yenisey Thank you for your great leadership  I m proud to be a Bilgi University Instructor  May  ,"thank, great, proud",positive
591, dodongwook  SB19Official I m incoming 3rd year college at Philippine Normal University  I am currently taking Bach  ,,neutral
592,Midlands State University MSU is looking for a Lecturer Senior Lecturer Associate Professor Professor  2 posts    E  ,,neutral
593,A small victory for common sense  amp  students  human rights  ,victory,positive
594,Bakit ba until now  hindi pa din yan maintindihan ng mga politiko   Libre na dapat ang education  Eh puta kahit st  ,din,negative
595, SoozUK I was predicted a C D in A Level English and told Id never manage it at degree level  I went on to get a  ,,neutral
596,This broad based Pre School to University online classroom should enable everyone to improve their education and ma  ,improve,positive
597,RT  alphacentauriii  Australia  Western Sydney University pays  1500 to each Chinese students to help beat Australia s Government travel ba,,neutral
598, goddersbloom That was your parents not you  remember  you were the ones that  never had it so good  and benefitt  ,good,positive
599,Our Aegir education pack is the perfect starter kit for going to University or College  It comes with 2 notebooks   ,perfect,positive
600,RT  MPBAUK   WernickGroup delivers 2nd  modular  building for  SwanseaUni  The building was procured through  Fusion21SocEnt s  education,,neutral
601,Like you  when I first attended University my biggest goal was to get good grades  I wanted to succeed at this new  ,"like, good, succeed",positive
